Preprocessed Data is here!
['Feature 0 : 5.1', 'Feature 1 : 3.5', 'Feature 2 : 1.4', 'Feature 3 : 0.2', 'Feature 4 : Iris-setosa']
['Feature 0 : 4.9', 'Feature 1 : 3.0', 'Feature 2 : 1.4', 'Feature 3 : 0.2', 'Feature 4 : Iris-setosa']
['Feature 0 : 4.7', 'Feature 1 : 3.2', 'Feature 2 : 1.3', 'Feature 3 : 0.2', 'Feature 4 : Iris-setosa']
['Feature 0 : 4.6', 'Feature 1 : 3.1', 'Feature 2 : 1.5', 'Feature 3 : 0.2', 'Feature 4 : Iris-setosa']
['Feature 0 : 5.0', 'Feature 1 : 3.6', 'Feature 2 : 1.4', 'Feature 3 : 0.2', 'Feature 4 : Iris-setosa']
['Feature 0 : 5.4', 'Feature 1 : 3.9', 'Feature 2 : 1.7', 'Feature 3 : 0.4', 'Feature 4 : Iris-setosa']
['Feature 0 : 4.6', 'Feature 1 : 3.4', 'Feature 2 : 1.4', 'Feature 3 : 0.3', 'Feature 4 : Iris-setosa']
['Feature 0 : 5.0', 'Feature 1 : 3.4', 'Feature 2 : 1.5', 'Feature 3 : 0.2', 'Feature 4 : Iris-setosa']
['Feature 0 : 4.4', 'Feature 1 : 2.9', 'Feature 2 : 1.4', 'Feature 3 : 0.2', 'Feature 4 : Iris-setosa']
['Feature 0 : 4.9', 'Feature 1 : 3.1', 'Feature 2 : 1.5', 'Feature 3 : 0.1', 'Feature 4 : Iris-setosa']
['Feature 0 : 5.4', 'Feature 1 : 3.7', 'Feature 2 : 1.5', 'Feature 3 : 0.2', 'Feature 4 : Iris-setosa']
['Feature 0 : 4.8', 'Feature 1 : 3.4', 'Feature 2 : 1.6', 'Feature 3 : 0.2', 'Feature 4 : Iris-setosa']
['Feature 0 : 4.8', 'Feature 1 : 3.0', 'Feature 2 : 1.4', 'Feature 3 : 0.1', 'Feature 4 : Iris-setosa']
['Feature 0 : 4.3', 'Feature 1 : 3.0', 'Feature 2 : 1.1', 'Feature 3 : 0.1', 'Feature 4 : Iris-setosa']
['Feature 0 : 5.8', 'Feature 1 : 4.0', 'Feature 2 : 1.2', 'Feature 3 : 0.2', 'Feature 4 : Iris-setosa']
['Feature 0 : 5.7', 'Feature 1 : 4.4', 'Feature 2 : 1.5', 'Feature 3 : 0.4', 'Feature 4 : Iris-setosa']
['Feature 0 : 5.4', 'Feature 1 : 3.9', 'Feature 2 : 1.3', 'Feature 3 : 0.4', 'Feature 4 : Iris-setosa']
['Feature 0 : 5.1', 'Feature 1 : 3.5', 'Feature 2 : 1.4', 'Feature 3 : 0.3', 'Feature 4 : Iris-setosa']
['Feature 0 : 5.7', 'Feature 1 : 3.8', 'Feature 2 : 1.7', 'Feature 3 : 0.3', 'Feature 4 : Iris-setosa']
['Feature 0 : 5.1', 'Feature 1 : 3.8', 'Feature 2 : 1.5', 'Feature 3 : 0.3', 'Feature 4 : Iris-setosa']
['Feature 0 : 5.4', 'Feature 1 : 3.4', 'Feature 2 : 1.7', 'Feature 3 : 0.2', 'Feature 4 : Iris-setosa']
['Feature 0 : 5.1', 'Feature 1 : 3.7', 'Feature 2 : 1.5', 'Feature 3 : 0.4', 'Feature 4 : Iris-setosa']
['Feature 0 : 4.6', 'Feature 1 : 3.6', 'Feature 2 : 1.0', 'Feature 3 : 0.2', 'Feature 4 : Iris-setosa']
['Feature 0 : 5.1', 'Feature 1 : 3.3', 'Feature 2 : 1.7', 'Feature 3 : 0.5', 'Feature 4 : Iris-setosa']
['Feature 0 : 4.8', 'Feature 1 : 3.4', 'Feature 2 : 1.9', 'Feature 3 : 0.2', 'Feature 4 : Iris-setosa']
['Feature 0 : 5.0', 'Feature 1 : 3.0', 'Feature 2 : 1.6', 'Feature 3 : 0.2', 'Feature 4 : Iris-setosa']
['Feature 0 : 5.0', 'Feature 1 : 3.4', 'Feature 2 : 1.6', 'Feature 3 : 0.4', 'Feature 4 : Iris-setosa']
['Feature 0 : 5.2', 'Feature 1 : 3.5', 'Feature 2 : 1.5', 'Feature 3 : 0.2', 'Feature 4 : Iris-setosa']
['Feature 0 : 5.2', 'Feature 1 : 3.4', 'Feature 2 : 1.4', 'Feature 3 : 0.2', 'Feature 4 : Iris-setosa']
['Feature 0 : 4.7', 'Feature 1 : 3.2', 'Feature 2 : 1.6', 'Feature 3 : 0.2', 'Feature 4 : Iris-setosa']
